iter	RMSE
137	0.2128735466
138	0.2119353975
139	0.2116188741
140	0.2108040484
141	0.2092418097
142	0.208082905
143	0.2069906989
144	0.2064565372
145	0.2058248925
146	0.2053351196
147	0.2039680946
148	0.2024940749
149	0.2020287903
150	0.2018238026
151	0.200097697
152	0.1984584745
153	0.1968097422
154	0.1954739295
155	0.1944781514
156	0.1926039379
157	0.1918278886
158	0.191222647
159	0.1908888103
160	0.1905439147
161	0.1902314725
162	0.1893869886
163	0.1878527648
164	0.1872100784
165	0.1867254966
166	0.1863011682
167	0.1855700536
168	0.1835035056
169	0.183412255
170	0.1825490023
171	0.1813551596
172	0.1806999865
173	0.1798810582
174	0.1785752455
175	0.177400473
176	0.177072736
177	0.1761506709
178	0.1758363117
179	0.1753836683
180	0.1741153215
181	0.173241558
182	0.1729830726
183	0.1719028097
184	0.1709636445
185	0.1702264497
186	0.1695550902
187	0.1690994511
188	0.1687127602
189	0.1679656855
190	0.1672120596
191	0.1666601649
192	0.165246903
193	0.1640834898
194	0.1635436915
195	0.163182945
196	0.1625693526
197	0.1620613873
198	0.1617548975
199	0.1613386373
200	0.1608001948
201	0.1600256816
202	0.1591113598
203	0.1588348297
204	0.1578092168
205	0.1570870324
206	0.1570211277
207	0.1558973001
208	0.1547561957
209	0.154637599
210	0.1540885916
211	0.1533597859
212	0.1524978266
213	0.1520312855
214	0.1514197967
215	0.1503852996
216	0.1501850358
217	0.1498093836
218	0.1490211117
219	0.1479802836
220	0.1477439698
221	0.1472828301
222	0.1469876564
223	0.1465478706
224	0.1456071394
225	0.1441200671
226	0.1438899283
227	0.1436251222
228	0.1423760289
229	0.1416846674
230	0.141379754
231	0.1409921904
232	0.1396008415
233	0.1389433216
234	0.1388663855
235	0.1386012719
236	0.13801941
237	0.1368552698
238	0.1363791995
239	0.1349969984
240	0.1345773312
241	0.1332015754
242	0.1326479211
243	0.1320588007
244	0.1311125727
245	0.1303881358
246	0.1302781248
247	0.129737389
248	0.1292344649
249	0.1291214363
250	0.1289792882
251	0.1279877291
252	0.1275455136
253	0.126359327
254	0.1262033707
255	0.1258507999
256	0.1251187144
257	0.1246650385
258	0.1241791244
259	0.1235535215
260	0.1233429332
261	0.1229697914
262	0.122641489
263	0.1226392371
264	0.1214959565
265	0.1211787481
266	0.1203658163
267	0.1190928983
268	0.1186944942
269	0.1181965333
270	0.1175705661
271	0.1172986247
272	0.11665975
273	0.1160346356
274	0.1159110815
275	0.1153281886
276	0.1148681053
277	0.1145635065
278	0.1143020729
279	0.113732244
280	0.1134247188
281	0.1133770911
282	0.1133261758
283	0.1118190814
284	0.1111024985
285	0.1110355431
286	0.1105936041
287	0.1104242264
288	0.109531508
289	0.1088445432
290	0.1083622158
291	0.1078905304
292	0.1075775768
293	0.1071436222
294	0.1064625131
295	0.1064387467
296	0.1063443217
297	0.1056357123
298	0.1054086113
299	0.1052418807
300	0.1048560661
301	0.1042772267
302	0.1036701969
303	0.1035868905
304	0.1031846948
305	0.1027401914
306	0.1025514553
307	0.1023577279
308	0.1020660721
309	0.101672327
310	0.1014098149
311	0.1012676679
312	0.1007423338
313	0.1004926616
314	0.1003472161
315	0.1000281374
316	0.09947598067
317	0.0988104534
318	0.09869539217
319	0.0983715678
320	0.09770278105
321	0.0973481385
322	0.09722136611
323	0.09646733577
324	0.09641664605
325	0.09521054685
326	0.09503142747
327	0.09492972477
328	0.09439999965
329	0.09404906976
330	0.09385725126
331	0.09342637361
332	0.09320402891
333	0.09266770448
334	0.09223345204
335	0.09214032693
336	0.0916903415
337	0.09122716348
338	0.09076411158
339	0.090678549
340	0.09038362129
341	0.08904871584
342	0.08851183043
343	0.08846384063
344	0.08829971202
345	0.08809553519
346	0.08756897504
347	0.08733184048
348	0.0873153773
349	0.08716645676
350	0.08664736362
351	0.08661046879
352	0.08634513627
353	0.08593246919
354	0.08541827992
355	0.08473976885
356	0.08463381725
357	0.08421409248
358	0.08406186336
359	0.08388977109
360	0.08294758367
361	0.08261196934
362	0.0821196198
363	0.08188643924
364	0.08187001413
365	0.0816392459
366	0.08141360367
367	0.08110736946
368	0.0807590334
369	0.08074399084
370	0.08061561248
371	0.08046970009
372	0.08044504022
373	0.08042306015
374	0.0800751547
375	0.07989781634
376	0.07925112784
377	0.07913857585
378	0.07894633367
379	0.07871590141
380	0.07868345245
381	0.07772287904
382	0.07758577903
383	0.07755739842
384	0.07753225066
385	0.0772581026
386	0.07713866704
387	0.07616563428
388	0.07599643412
389	0.07587427409
390	0.07567776266
391	0.07509065515
392	0.07506222104
393	0.07492065081
394	0.07468276319
395	0.0743902835
396	0.0739258205
397	0.07374476705
398	0.07373383637
399	0.07365451574
400	0.0735908723
401	0.07344831864
402	0.07344004803
403	0.07332999469
404	0.07325041595
405	0.07266478358
406	0.07241337255
407	0.07224859969
408	0.07177552375
409	0.07171153283
410	0.07159602426
411	0.07150316487
412	0.07140810497
413	0.07139657523
414	0.07133053503
415	0.07098514287
416	0.07083632552
417	0.0707662767
418	0.07074244548
419	0.07046521557
420	0.07037946946
421	0.07024673554
422	0.07009937053
423	0.06992941783
424	0.06951739001
425	0.06939556382
426	0.06920696189
427	0.068961775
428	0.06890520582
429	0.06878006321
430	0.06783080855
431	0.06758245605
432	0.06715168915
433	0.06704240511
434	0.06666957808
435	0.06659316812
436	0.06654605094
437	0.06618365144
438	0.0660738427
439	0.06562550639
440	0.06534073375
441	0.06533033364
442	0.06525481859
443	0.0648334099
444	0.06482848953
445	0.06473919881
446	0.064705685
447	0.06460348608
448	0.06446858439
449	0.06437224529
450	0.06398638899
451	0.06324976311
452	0.06303616099
453	0.06268270888
454	0.06243346061
455	0.06224813551
456	0.06192852633
457	0.06180964447
458	0.0615059723
459	0.06133548809
460	0.0612440352
461	0.06111494752
462	0.06101263652
463	0.06083353537
464	0.06077053694
465	0.06069844423
466	0.06055812262
467	0.06032046276
468	0.06030558134
469	0.06003118269
470	0.05999024814
471	0.05996062271
472	0.05981739892
473	0.05945544685
474	0.05936772751
475	0.05924585715
476	0.05922567165
477	0.05909762386
478	0.05903799631
479	0.05888216043
480	0.05880315891
481	0.05877178475
482	0.05849572082
483	0.05833895246
484	0.05831072439
485	0.05821076529
486	0.05810589977
487	0.05745806178
488	0.05704847797
489	0.05694400678
490	0.05675470454
491	0.05674256251
492	0.05661103874
493	0.05639392892
494	0.056328636
495	0.05629367502
496	0.05605006211
497	0.05593164408
498	0.05584347752
499	0.05582617117
500	0.05567417888
501	0.05567034619
502	0.05552067244
503	0.0553087213
504	0.05514379419
505	0.05507015914
506	0.05492371168
507	0.05480829864
508	0.05475976136
509	0.05471614772
510	0.05451393708
511	0.05421201793
512	0.05420614097
513	0.05409407622
514	0.05408511407
515	0.05396202037
516	0.05392519039
517	0.05351386594
518	0.05327218722
