,fc_code,to_city,to_state,to_latitude,to_longitude
101,HOU8,Fresno,TX,29.531537878002872,-95.50031595922636
102,HSV1,Madison,AL,34.66682455,-86.85013498866724
103,HSV2,Madison,AL,43.5005743669442,-75.71319044437739
104,IAH3,Houston,TX,29.943577313426974,-95.33754692717714
105,ICT2,Park City,KS,39.22375404081632,-94.58548242857142
106,IGQ2,University Park,IL,41.4651907,-87.75070130536344
107,ILG1,New Castle,DE,39.62514605,-75.63374613230809
108,IND1,Whitestown,IN,39.9796754,-86.37965451482552
109,IND2,Plainfield,IN,39.70837085714286,-86.34626871428571
110,IND4,Indianapolis,IN,39.75468322818792,-86.28909984563758
111,IND5,Plainfield,IN,35.7209619,-78.8443948
112,IND9,Greenwood,IN,39.594456576903454,-86.06411799126037
113,JAX2,Jacksonville,FL,30.4653236,-81.68029390000001
114,JAX3,Jacksonville,FL,30.24640240563165,-81.86822680590096
115,JFK8,Staten Island,NY,40.619432119654064,-74.1780195477715
116,JOT1,San Bernardino,CA,34.07337005,-117.28230162933434
117,JVL1,Beloit,WI,42.5076728,-88.97139024432622
118,KRB1,San Bernardino,CA,34.07836225,-117.27329306366488
119,KRB2,Prince George,VA,37.74743003377532,-78.4085301784264
120,KRB4,Perris,CA,33.8499855,-117.25018762019464
121,LAN2,Lansing,MI,42.71216059719439,-84.64336459519038
122,LAS1,Henderson,NV,35.9651878,-115.15194140025712
123,LAS6,Las Vegas,NV,36.26695005,-115.07429473479854
124,LAS7,Las Vegas,NV,36.2659488,-115.040979375
125,LAX9,Fontana,CA,34.05123304999999,-117.44628955771358
126,LBE1,New Stanton,PA,40.233283249067846,-79.62793305592939
127,LEX1,Lexington,KY,37.7694146373705,-84.32232914290299
128,LFT1,Carencro,LA,30.3085528833921,-92.02900363494496
129,LGB3,Eastvale,CA,33.998523750000004,-117.55284965053636
130,LGB4,Redlands,CA,34.07953235,-117.20389641207264
131,LGB6,Riverside,CA,33.879831249999995,-117.29906075280104
132,LGB7,Rialto,CA,34.131971300000004,-117.40557079869018
133,LGB8,Rialto,CA,34.1294004,-117.40548507399755
134,LGB9,Riverside County,CA,33.849813999999995,-117.2229535526165
135,LIT2,North Little Rock,AR,30.0112367,-91.1891468
136,MCE1,Turlock,CA,37.50715,-120.885588
137,MCI3,Liberty,MO,39.20793325203983,-94.44940406276103
138,MCO1,Orlando,FL,28.3842612,-81.3164850546302
139,MCO2,Deltona,FL,28.9404866,-81.2576008
140,MDT1,Carlisle,PA,42.0829217,-71.11329329691236
141,MDT2,North East,MD,39.58986662345436,-76.00463924661463
142,MDT4,York,PA,39.933670566312216,-76.83983972495825
143,MDW2,Joliet,IL,42.02726945497193,-88.19960713506498
144,MDW4,Joliet,IL,41.4868153,-88.07467397271662
145,MDW6,Romeoville,IL,41.67406883333334,-88.11770666666666
146,MDW7,Monee,IL,41.42412345,-87.77283169565433
147,MDW8,Waukegan,IL,42.82497587256516,-88.23422304318653
148,MDW9,Aurora,IL,41.8149559,-88.21278735000001
149,MEM1,Memphis,TN,35.00828305,-89.94976278778165
150,MEM2,Byhalia,MS,34.991244,-89.5971
151,MEM6,Olive Branch,MS,34.953151500000004,-89.7923605
152,MEM8,Byhalia,MS,34.965978,-89.601442
153,MGE1,Braselton,GA,34.10649806964804,-83.7719225967978
154,MGE3,Jefferson,GA,34.17690540177291,-83.60294708855054
155,MIA1,Opa Locka,FL,25.9029735,-80.2602148
156,MIT2,Shafter,CA,35.4592929,-119.1824476265286
157,MKC4,Edgerton,KS,38.77281481907468,-94.9458093637917
158,MKC6,Kansas City,KS,39.0969897,-94.7391231
159,MKE1,Kenosha,WI,42.613544,-87.949339
160,MQJ1,Greenfield,IN,39.56917106810851,-85.86483374947262
161,MQJ2,Whiteland,IN,39.550074,-86.04712
162,MSP1,Shakopee,MN,44.80061825,-93.48870109945584
163,OAK3,Patterson,CA,37.4698085,-121.16647023643876
164,OAK4,Tracy,CA,37.7430048,-121.4047365
165,OKC1,Oklahoma City,OK,35.374120000000005,-97.58107620200974
166,OKC2,Oklahoma City,OK,35.3805878,-97.58066959954326
167,OLM1,Olympia,WA,47.0804919,-122.76243353119594
168,ONT2,San Bernardino,CA,34.088344750000005,-117.24611690695392
169,ONT6,Moreno Valley,CA,33.872068299999995,-117.23817465461586
170,ONT8,Moreno Valley,CA,33.86829195,-117.23712192190835
171,ONT9,Redlands,CA,34.0757489,-117.22842152473912
172,ORD2,Channahon,IL,41.4492849,-88.1892366
173,ORF2,Chesapeake,VA,36.81658384974136,-76.45359838146298
174,PBI2,Jupiter,FL,26.908251765809137,-80.2760599055677
175,PBI3,Port Saint Lucie,FL,27.36763808463668,-80.40589218604242
176,PCA3,Fontana,CA,34.058367516323024,-117.4318047788923
177,PCW1,Rossford,OH,41.56428516579064,-83.57880603339204
178,PDX6,Portland,OR,45.633331,-122.76827338506696
179,PDX7,Salem,OR,39.11032496219154,-77.56243032221334
180,PDX9,Troutdale,OR,45.5532,-122.40117284906913
181,PHL4,Carlisle,PA,40.226225,-77.11437164726472
182,PHL5,Lewisberry,PA,40.17156225,-76.83660887256559
183,PHL6,Carlisle,PA,40.1735318928333,-77.23432734276939
184,PHL7,Middletown,DE,39.45029850556591,-75.73828730788887
185,PHX3,Phoenix,AZ,33.43332425,-112.20779650534853
186,PHX5,Goodyear,AZ,33.4121535,-112.42195214649288
187,PHX6,Phoenix,AZ,33.43252995,-112.16475276515158
188,PHX7,Phoenix,AZ,33.45707855,-112.22539971548107
189,PIT2,Imperial,PA,40.4480826,-80.30693934545454
190,POC1,Fontana,CA,34.179029871816155,-117.44780211054186
191,POC3,Jurupa Valley,CA,33.22515738613408,-87.46274158268751
192,PPO4,Crown Point,IN,41.4411942,-87.31899125000001
193,PSC2,Pasco,WA,46.2203792,-119.04172352449224
194,QXY5,Stockton,CA,37.914154800000006,-121.19755918794591
195,QXY9,Beaumont,CA,33.92651474151877,-117.00252136076844
196,RDG1,Hamburg,PA,40.525371347158114,-76.10466968909404
197,RDU1,Garner,NC,35.71637195,-78.58761531267666
198,RDU2,Smithfield,NC,35.53734374879133,-78.37546113312267
199,RDU4,Fayetteville,NC,35.1096273601162,-78.96083034790398
200,RFD2,Huntley,IL,42.492660859201806,-88.43190403057659
201,RFD4,Huntley,IL,42.13063567555944,-88.42753210666275
202,RIC1,Petersburg,VA,37.19469625,-77.49304279260181
203,RIC2,Chester,VA,37.3520749,-77.32688322340115
204,RIC3,Richmond,VA,34.111259,-83.336277
205,RMN3,Fredericksburg,VA,38.393316,-77.464077
206,RNO4,Reno,NV,39.60383495,-119.84841968877288
207,RYY2,White,GA,34.27147714563975,-84.79641599276549
208,SAT1,Schertz,TX,29.15341390413811,-98.89178757991677
209,SAT2,San Marcos,TX,29.83732075,-97.96294865
210,SAT4,San Antonio,TX,29.380267467567226,-98.69953805378051
211,SAT6,San Marcos,TX,29.932777029511264,-97.87564686062866
