iter	Passed	Remaining
404	11090	21770
405	11113	21735
406	11140	21705
407	11167	21678
408	11201	21662
409	11241	21660
410	11275	21645
411	11305	21623
412	11335	21600
413	11365	21577
414	11391	21548
415	11415	21513
416	11444	21488
417	11471	21461
418	11503	21442
419	11530	21414
420	11571	21410
421	11603	21392
422	11630	21364
423	11657	21335
424	11684	21307
425	11713	21282
426	11750	21272
427	11781	21251
428	11810	21226
429	11842	21206
430	11867	21174
431	11891	21139
432	11918	21112
433	11949	21090
434	11976	21062
435	12005	21036
436	12034	21012
437	12058	20978
438	12093	20964
439	12127	20946
440	12163	20934
441	12194	20913
442	12235	20907
443	12275	20901
444	12305	20878
445	12335	20854
446	12372	20842
447	12406	20825
448	12444	20815
449	12481	20801
450	12516	20786
451	12573	20808
452	12601	20779
453	12637	20765
454	12678	20758
455	12716	20748
456	12751	20731
457	12786	20714
458	12814	20688
459	12848	20669
460	12885	20656
461	12924	20645
462	12958	20627
463	12987	20600
464	13015	20572
465	13042	20542
466	13073	20520
467	13107	20500
468	13141	20483
469	13175	20464
470	13208	20444
471	13242	20424
472	13274	20402
473	13310	20387
474	13350	20377
475	13382	20354
476	13426	20350
477	13461	20333
478	13498	20317
479	13533	20300
480	13572	20287
481	13604	20265
482	13641	20249
483	13675	20230
484	13712	20215
485	13743	20190
486	13770	20160
487	13794	20126
488	13827	20104
489	13855	20075
490	13892	20061
491	13926	20039
492	13959	20019
493	13989	19992
494	14016	19963
495	14044	19934
496	14068	19900
497	14101	19878
498	14137	19860
499	14166	19832
500	14197	19807
501	14227	19782
502	14260	19761
503	14298	19745
504	14338	19732
505	14373	19713
506	14408	19694
507	14444	19676
508	14492	19674
509	14532	19661
510	14569	19644
511	14606	19627
512	14646	19613
513	14690	19605
514	14737	19602
515	14770	19578
516	14800	19552
517	14829	19525
518	14862	19501
519	14894	19477
520	14925	19452
521	14958	19428
522	14995	19411
523	15029	19389
524	15071	19377
525	15111	19362
526	15141	19336
527	15165	19301
528	15191	19268
529	15221	19242
530	15251	19215
531	15284	19191
532	15312	19162
533	15345	19138
534	15373	19109
535	15403	19082
536	15431	19052
537	15461	19025
538	15491	18998
539	15520	18970
540	15545	18936
541	15574	18907
542	15605	18882
543	15638	18858
544	15670	18832
545	15701	18807
546	15726	18774
547	15750	18739
548	15773	18704
549	15798	18671
550	15828	18643
551	15855	18612
552	15883	18583
553	15913	18555
554	15939	18524
555	15963	18489
556	15986	18454
557	16014	18424
558	16041	18394
559	16069	18364
560	16095	18333
561	16117	18297
562	16146	18268
563	16166	18230
564	16186	18192
565	16211	18158
566	16237	18128
567	16270	18103
568	16295	18071
569	16326	18044
570	16352	18013
571	16376	17979
572	16425	17972
573	16455	17946
574	16477	17909
575	16552	17931
576	16582	17904
577	16605	17869
578	16637	17843
579	16668	17817
580	16698	17790
581	16730	17765
582	16758	17735
583	16790	17710
584	16817	17680
585	16845	17650
586	16875	17623
587	16906	17596
588	16938	17570
589	16974	17549
590	17002	17520
591	17030	17490
592	17056	17459
593	17084	17429
594	17111	17398
595	17133	17363
596	17160	17333
597	17190	17305
598	17217	17275
599	17246	17246
600	17291	17234
601	17321	17206
602	17352	17180
603	17385	17155
604	17425	17137
605	17465	17119
606	17495	17092
607	17533	17071
608	17569	17050
609	17607	17029
610	17638	17002
611	17671	16978
612	17709	16958
613	17746	16936
614	17784	16916
615	17822	16896
616	17849	16865
617	17873	16832
618	17904	16805
619	17936	16779
620	17977	16761
621	18000	16727
622	18030	16699
623	18053	16665
624	18082	16635
625	18106	16602
626	18134	16572
627	18157	16538
628	18181	16505
629	18215	16480
630	18244	16452
631	18271	16421
632	18302	16393
633	18335	16368
634	18363	16339
635	18391	16309
636	18412	16273
637	18437	16241
638	18464	16210
639	18490	16178
640	18517	16149
641	18553	16125
642	18587	16101
643	18618	16074
644	18643	16042
645	18668	16009
646	18695	15978
647	18715	15942
648	18747	15916
649	18768	15881
650	18791	15847
651	18816	15814
652	18837	15779
653	18858	15743
654	18883	15712
655	18904	15676
656	18934	15648
657	18968	15624
658	18995	15594
659	19017	15559
660	19040	15526
661	19062	15491
662	19086	15459
663	19124	15437
664	19156	15411
665	19195	15391
666	19221	15360
667	19244	15326
668	19265	15291
669	19291	15260
670	19313	15226
671	19339	15195
672	19370	15168
673	19400	15140
674	19421	15105
675	19452	15078
676	19486	15053
677	19516	15026
678	19541	14994
